ぎかい,議会
きがえる,着替える
きかく,企画
きかく,規格
きかざる,着飾る
きがね,気兼ね
きがる,気軽
きかん,期間
きかん,器官
きかん,季刊
きかん,機関
きかんしゃ,機関車
きき,危機
ききとり,聞き取り
ききめ,効き目
ききょう,帰京
きぎょう,企業
ぎきょく,戯曲
ききん,基金
ききん,飢饉
きく,聞く
きく,効く
きぐ,器具
きげき,喜劇
ぎけつ,議決
きけん,危険
きけん,棄権
きげん,期限
きげん,機嫌
きげん,起源
きこう,気候
きこう,機構
きごう,記号
きこえる,聞こえる
きこん,既婚
きざ,気障
きさい,記載
きざし,兆し
きざむ,刻む
きし,岸
きじ,生地
きじ,記事
ぎし,技師
ぎしき,儀式
きしつ,気質
きじつ,期日
きしむ
きしゃ,汽車
きしゃ,記者
ぎじどう,議事堂
きじゅつ,記述
ぎじゅつ,技術
きじゅん,基準,規準
きしょう,気象
きしょう,起床
きず,傷
きすう,奇数
きずく,築く
きずつく,傷付く
きずつける,傷付ける
きせい,規制
ぎせい,犠牲
きせつ,季節
きせる,着せる
きせん,汽船
きそ,基礎
きぞう,寄贈
ぎぞう,偽造
きそく,規則
きぞく,貴族
きた,北
ギター
きたい,期待
きたい,気体
ぎだい,議題
きたえる,鍛える
きたく,帰宅
きだて,気立て
きたない,汚い
きたる,来る
きち,基地
きちっと
きちょう,貴重
ぎちょう,議長
きちょうめん,几帳面
きちんと
きつい
きっかけ
きっかり
きづく,気付く
きっさ,喫茶
ぎっしり
きっちり
きって,切手
きっと
きっぱり
きっぷ,切符
きてい,規定
きてん,起点
きどう,軌道
きにいる,気に入る
きにゅう,記入
きぬ,絹
きねん,記念
きのう,昨日
きのう,機能
ぎのう,技能
きのどく,気の毒
きはん,規範
きばん,基盤
きびしい,厳しい
きひん,気品
きふ,寄付
きふう,気風
きふく,起伏
きぶん,気分
きぼ,規模
きぼう,希望
きほん,基本
きまぐれ,気まぐれ
きまじめ,生真面目
きまつ,期末
きまり,決まり
きまりわるい,決まり悪い
きまる,決まる
きみ,君
きみ,気味
きみょう,奇妙
ぎむ,義務
きめい,記名
きめる,決める
きもち,気持ち
きもの,着物
ぎもん,疑問
きやく,規約
きゃく,客
ぎゃく,逆
きゃくしょく,脚色
